drug_name
Azithromycin
Amoxicillin
Amoxiclav
Metoprolol
Metformin
Paracetamol
Ibuprofen
Ciprofloxacin
Cetirizine
Levocetirizine
Pantoprazole
Omeprazole
Atorvastatin
Rosuvastatin
Losartan
Amlodipine
Hydroxyzine
Hydralazine
Xanax
Zantac
Ranitidine
Domperidone
Ondansetron
Dolo 650
Montelukast
Azee 500
Augmentin
Clavam
Doxycycline
Diclofenac
PAN-D
Aspirin
Warfarin
Insulin
Glimepiride
Sitagliptin
Telmisartan
Enalapril
Ramipril
Furosemide
Spironolactone
Digoxin
Clopidogrel
Simvastatin
Prednisolone
Dexamethasone
Salbutamol
Budesonide
Levothyroxine
Metronidazole
Azithral 500
Clindamycin
Cefixime
Cefpodoxime
Ofloxacin
Norfloxacin
Fluconazole
Itraconazole
Acyclovir
Diazepam
Alprazolam
Sertraline
Escitalopram
Amitriptyline
Gabapentin
Pregabalin
Tramadol
Aceclofenac
Naproxen
Loratadine
Fexofenadine
Ranitidine 150
Sucralfate
Lactulose
Ors
